Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	diversification	extinction_rate	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	turnover
570	-1784.412	-1574.461	-209.9511	0.280846	0.09587546	0.6684293	9.39219e-05	10	4.260057	0.191911	0.00387049	0.089704	0.562189	3.34424	0.6685232	0.188386	1.73076	1.20179	0.917591	1.69642	0.35903	0.283332	2.13684	0.897554	2.00884	0.0001404916
580	-1782.024	-1568.52	-213.5047	0.2830807	0.08178727	0.6055753	0.0001676555	10	4.562907	0.2284442	0.00402344	0.0914157	0.566264	3.3383	0.605743	0.164182	1.54785	0.834603	0.906726	1.79869	0.357779	0.312486	2.52192	0.897554	2.40021	0.0002767766
590	-1781.687	-1569.611	-212.0761	0.2499705	0.09130965	0.6115926	0.0003099809	10	4.671975	0.1565976	0.00211038	0.0666687	0.501424	3.4298	0.6119026	0.189542	1.20724	0.834603	0.716142	1.38897	0.531741	0.542468	2.63313	0.926811	2.43367	0.0005065854
600	-1771.582	-1559.385	-212.197	0.2557273	0.09358033	0.6451923	0.001303746	10	4.926002	0.1544259	0.0023895	0.0708561	0.513409	3.41335	0.646496	0.286254	1.20724	0.641263	0.643489	1.49178	0.413668	0.365019	2.58416	0.926811	2.43367	0.002016635
610	-1779.55	-1568.25	-211.2998	0.2304437	0.1003069	0.5406193	0.0004891916	10	4.937173	0.1798417	0.00132208	0.0529768	0.458391	3.48731	0.5411085	0.316858	0.88524	0.972057	0.643489	1.36122	0.437565	0.347133	2.58416	0.694491	2.08831	0.0009040546
620	-1778.305	-1565.544	-212.7608	0.2569888	0.08207623	0.771169	0.0009199896	10	4.725661	0.1969127	0.0024536	0.0717815	0.515994	3.40977	0.772089	0.450478	0.88524	1.09133	0.643489	1.47868	0.53219	0.453103	2.58416	0.870311	2.40098	0.001191559
630	-1771.081	-1560.823	-210.2585	0.2555811	0.08481133	0.7209285	0.001015569	10	4.208857	0.1746108	0.00238214	0.0707491	0.513108	3.41376	0.721944	0.454435	1.32486	1.12632	0.864621	1.3619	0.465109	0.419835	2.59223	1.00718	2.19492	0.001406714
640	-1781.452	-1564.881	-216.5709	0.2104375	0.0854866	0.6579936	0.0008781154	10	4.987684	0.1024628	0.000748114	0.0400056	0.410346	3.5489	0.6588717	0.406239	1.32486	0.849369	1.02395	1.16732	0.472529	0.457743	2.32647	1.16573	2.14906	0.001332756
650	-1779.822	-1565.997	-213.8247	0.218677	0.08256567	0.583877	0.000870916	10	4.944266	0.1328195	0.000957873	0.045197	0.430627	3.52322	0.584748	0.571274	1.16399	1.07459	1.04873	1.11105	0.472529	0.447092	2.30557	1.11949	1.98023	0.001489387
660	-1778.483	-1564.18	-214.3029	0.2847952	0.08684543	0.6372423	0.00139734	10	4.952686	0.1608842	0.00414316	0.092732	0.569362	3.33376	0.6386396	0.564804	1.16399	1.03808	1.07188	1.05793	0.454961	0.506993	2.30557	1.21572	2.1505	0.002187995
670	-1783.233	-1568.138	-215.0951	0.2317105	0.09422784	0.6943454	0.001012412	10	4.584242	0.3340256	0.00136607	0.0538375	0.461297	3.4835	0.6953578	0.497754	1.65489	0.972571	0.653186	1.45746	0.244306	0.650099	2.40647	1.23023	2.01511	0.001455959
680	-1783.457	-1570.609	-212.8488	0.235001	0.08975565	0.8002932	0.0006504346	10	4.837627	0.2294591	0.00148486	0.0560926	0.46877	3.47365	0.8009436	0.501701	1.65489	1.12819	0.855412	1.62625	0.279823	0.974148	2.25468	1.01347	1.98762	0.0008120854
690	-1785.574	-1572.108	-213.4654	0.2913572	0.08568038	1.016743	0.0004432622	10	4.484592	0.2110848	0.00462046	0.0977906	0.580999	3.31659	1.017186	0.516065	1.80629	1.11035	0.602626	1.62625	0.327053	0.493445	2.20512	0.843857	1.98762	0.000435773
700	-1780.564	-1569.036	-211.5282	0.2263507	0.09932652	0.9967316	0.0002200345	10	4.066164	0.138575	0.0011864	0.0502254	0.448893	3.4997	0.9969516	0.332751	1.86331	0.959273	0.602626	1.23993	0.366942	0.580097	2.20009	0.965429	1.98762	0.0002207073
710	-1772.153	-1562.342	-209.8115	0.2591051	0.09109231	0.7847443	0.000193544	10	4.655394	0.2291444	0.00256354	0.0733397	0.520297	3.4038	0.7849378	0.335422	1.25955	0.903895	0.788695	1.23993	0.397643	0.431921	2.13476	0.987898	1.87488	0.0002465724
720	-1774.82	-1566.767	-208.0533	0.2123131	0.1130857	0.679953	5.163575e-05	10	4.434605	0.1953498	0.000792749	0.0411672	0.415023	3.54302	0.6800046	0.316666	1.35027	0.815955	0.795993	1.23723	0.283854	0.388695	2.13476	0.987898	1.87488	7.593441e-05
